2019-09-15 16:03		5分	游客没用填写买票情况      	XinVCherish		广西值得去的地方，每个季节都不一样。
2019-09-15 05:33		5分	游客没用填写买票情况      	冰之炙点		我们是春节之期间去的。几乎上没有什么游客。天空不作美。我们住的景观房也看不到景色。&#x0A;但是梯田还是很震撼的。好像是壮族做的。古代劳动人民花了几百年的时间，为了生存改造自然。
2019-09-14 21:52		5分	游客没用填写买票情况      	M28****6164		王导很棒！&#x0A;【景色】更美！值得一游。中餐，晚餐都很满急。晚上大公馆住宿也是值得大家拥有的，超出企望值。携程网订的比自己选择更优惠
2019-09-14 19:29		5分	龙脊梯田+景区内接驳+专线车票 成人票      	_WeCh****037621		张导服务非常热情&#x20;&#x20;行程安排合理&#x20;&#x20;非常满意
2019-09-13 16:48		5分	龙脊梯田+景区内接驳+专线车票 成人票      	M69****34		潘导，潘狗肉，棒棒棒！玩得好high额！
2019-09-13 15:41		5分	龙脊梯田门票 成人票      	fan****zzg		龙脊梯田的景色很漂亮，很有特色，要是四五月份来的话，梯田里面都是水，光影变幻，景色会更美，或者国庆左右来，等稻田成熟，一片金黄也不错。
2019-09-12 22:24		5分	龙脊梯田门票 双人票      	M35****499		怕人逼人的时候去&#x20;所以选了这时间去&#x20;可是还是早了一点&#x20;哈哈哈&#x20;只游了平安&#x20;其他的没有去&#x20;下次再来休闲游
2019-09-12 09:44		5分	龙脊梯田门票 成人票      	M16****281		去时雾很大，坐索道上去的，没有看到全景，感觉不错，有时间可以去看一下。
2019-09-11 15:46		5分	游客没用填写买票情况      	翼儿爱自由		龙脊梯田在广西龙胜各族自治县龙脊镇平安村龙脊山上开发出的梯田。距离现在至少有2300多年的历史，堪称世界梯田原乡。龙脊梯田曲线优美，其线条行云流水，潇洒流畅，规模磅礴壮观，气势恢宏。在金秋时节去龙脊，就可以看到金灿灿的梯田，可惜我去早了一点。
2019-09-11 08:33		5分	游客没用填写买票情况      	胖杨杨		还是值得一去的好地方，中国十大梯田，景色一人，还有少数民族村寨！
2019-09-10 22:24		4分	龙脊梯田门票 成人票      	M10****607		很顺利，但是价格跟景点一样没有优惠
2019-09-10 22:11		5分	龙脊梯田门票 成人票      	M48****786		没游玩完，只看了平安寨和古壮寨，但已足够震撼，虽是景点，当地依旧村民朴实，个人感觉还是很值得去的地方。
2019-09-10 21:14		5分	龙脊梯田门票 成人票      	M55****360		叠叠层层上远山，蜿蜒逶迤上云间。百折千盘心胆提，凌霄险峻变平畦
2019-09-10 20:01		5分	龙脊梯田门票 双人票      	E23****1377		很美的梯田，环境和空气都非常好，就是景区内的路太难走了，开车得特别小心，自驾游的朋友们要多注意了。。
2019-09-10 19:22		4分	游客没用填写买票情况      	_WeCh****680080		一个小时的爬山&#x20;，龙脊梯田美不胜收&#x20;[胜利]9月，即将是丰收的季节来临了，这里绿意盎然，不得不佩服前人的鬼斧神工，竟然能修出如此之梯田，造福百姓
2019-09-09 22:54		3分	龙脊梯田门票 成人票      	YR悠然自得		稻穗没黄呢，最好十月一后去玩。
2019-09-09 20:42		5分	游客没用填写买票情况      	Yanyan802		很值得再去的地方！晚上要出来走走！会有不一样的感受！
2019-09-09 17:42		5分	龙脊梯田+景区内接驳+专线车票 成人票      	jsjyqian		时间安排合理，潘导人不错。这个景点坐缆车上去拍几张照片就下了，没有想象中那么壮观。
2019-09-09 11:18		5分	龙脊梯田门票 成人票      	tq****23		景色壮丽，感叹人类的伟大，向大自然不屈的斗争，改天换地的精神而感动
2019-09-08 19:25		5分	游客没用填写买票情况      	_WeCh****487720		虽然累&#x20;还是很值得&#x20;确实值得一看&#x20;也很感概&#x20;人间很值得哦
2019-09-08 11:20		5分	游客没用填写买票情况      	M49****629		龙脊梯田，我觉得可以号称中国最美丽的梯田之一了，游客不少但也不会特别拥挤。梯田非常壮丽，一眼望去，有一种心旷神怡的感觉。
2019-09-08 02:24		4分	游客没用填写买票情况      	翘臀仙儿		从柳州自驾过去&#x20;一路风景不错&#x20;广西的确是好地方，出差舒服的经历.
2019-09-08 00:37		5分	游客没用填写买票情况      	SuSB		地貌很奇特，大山的景观也很美妙，有机会还会再去的
2019-09-07 17:11		5分	龙脊梯田+景区内接驳+专线车票 成人票      	_CFT01****2382802		导游小李非认真负责，中午的饭菜也非常可口香甜，特别是竹筒饭，景色壮美，让我们充分感叹劳动人民的伟大复兴和智慧。
2019-09-07 14:50		5分	龙脊梯田门票 成人票      	_CFT01****1816882		非常美，风景真的很棒，推荐，强烈推荐
2019-09-07 13:04		3分	龙脊梯田+景区内接驳+专线车票 成人票      	南行北望		桂林阳朔我应该不会去第二次了。四天的行程没一个是好玩的，全程都在失望中。龙脊梯田这个景点也是，就是去看这个梯田，不知道是不是去的季节不对，觉得也没什么好看的，就是去呼吸呼吸新鲜空气的吧，上面很凉快。桂林米粉和我想象中差好远，不觉得好吃。就吃住还行，去到哪都是吃啤酒鱼，景点是真的没感觉。告诉大家那些什么排行推荐都是不靠谱的！
2019-09-07 05:53		5分	游客没用填写买票情况      	绿色大白鲨		从广西桂林乘坐商务车前往龙脊梯田，公路二旁的景色非常迷人，山路有一点险，中午游玩了一个寨子，同时看了一个表演，梯田非常不错，应该是秋天景色。
2019-09-07 00:57		5分	龙脊梯田门票 成人票      	林少天		非常不错摄影观景点，希望大家没来过有机会来，真心很棒棒哦！嘻嘻
2019-09-06 22:20		5分	龙脊梯田门票 成人票      	span01		风景秀丽，住在客栈里面非常舒适，当地民风不错
2019-09-06 18:59		5分	游客没用填写买票情况      	勇猛十温柔		被称为“世界梯田之冠”的龙脊梯田，秋天是它最为磅礴的季节。流光溢彩，满山铺金，从山脚盘绕到山顶，小山如螺，大山似塔，高低错落，有一种说不出的返璞归真的感动。&#x0A;每年10月稻谷成熟，在群山怀抱中那层层叠叠的稻田宛如金色的旋涡，夕阳温柔的金光覆盖在上，整个村落都是含情脉脉的颜色。
2019-09-06 17:50		5分	龙脊梯田门票 成人票      	zeng****ong		又快又好，换票顺利，龙脊梯田秋天好赞，可以的！
2019-09-06 08:52		4分	游客没用填写买票情况      	M26****600		在网上买倒不如去窗口买票，都是一样，而且窗口买票还可以留着做纪念，网上订的只打印一个小票给你。说是65岁老人免票，却又强制收取了10块钱什么保险费垃圾费的。路面很烂，东一个坑西一个洼，我们去的时候是晴天，如果下雨的话恐怕没发走，自驾只能开到各寨停车场，四驱才能开上山路。景区里吃饭较贵，一碗米粉要12块，但是竹筒鸡和竹筒饭可以品尝下，味道很好。去的时候是八月，梯田绿油油的，连绵成片，很壮观，住了一晚，早上六点起来看了日出，景色很美，空气清新，各景点间离得较远，要一天看完的话挺赶的，如果不赶时间可以待个一两天，慢慢品味静谧的时光。山间蚊虫多，要带上防蚊水。各季节的梯田各有各精彩，四月份是放水的时候，十月份是禾苗成熟的时候，选在这些时候来看你不会失望的
2019-09-06 06:22		5分	龙脊梯田门票 成人票      	156****2856		取票还是很方便的，没有什么问题，去的时候是淡季，人很少，景色当然也一般了，时间安排的不是很合理，放水最多的梯田没来得及好好看一下。
2019-09-05 17:28		5分	龙脊梯田+景区内接驳+专线车票 成人票      	困惑提卡都		非常好玩，物超所值，梯田超美！
2019-09-05 15:50		5分	游客没用填写买票情况      	M51****665		2019-09-01 23:47		5分	游客没用填写买票情况      	观天下		广西的龙胜龙脊梯田主要有3个寨子梯田，我们选了最大的金坑红瑶梯田，梯田非常美而且在山上感觉很舒适放松，下午我们在金佛顶观日落，第二天上午看梯田日出。下次还会去，感受不同季节的梯田别样的美！
2019-09-01 21:26		5分	游客没用填写买票情况      	携和		坐缆车上去，人很多，排队，不过上面景色很美
2019-09-01 20:27		5分	游客没用填写买票情况      	风云之紫气东来		风景美丽，就是吃的贵，空气新鲜，云在脚下，仙境一般。
2019-09-01 19:55		5分	龙脊梯田门票 成人票      	M21****118		去之前看网上图片就已心向往之，到了那果然不负所望，太美了。去的那天正逢当地晒衣节，虽然天气不太好，但雨时有时无还是可以接受。最重要的是因为连着几天的雨天让我们见到了云海，美爆了
2019-09-01 13:55		5分	游客没用填写买票情况      	游侠KK		龙脊梯田位于广西龙胜各族自治县龙脊山,距县城22公里,距桂林市80公里。龙脊梯田包括平安壮族梯田和金坑(大寨)瑶族梯田两个观景区,景区大门票还包括天下第一长发村黄洛瑶寨。因时间关糸只有一天游程,我就在携程网上报一日游,而且选择金坑梯田,金坑梯田在大寨村境内,四面群山环绕,酷似一个天然的天坑,它最高海泼1180米,金坑梯田有三个观景点,分别为西山韶乐,大界千层天梯,金佛顶,最高处为金佛顶,在大寨村坐缆车直达金佛顶可以看到&amp;amp;quot;雄鹰展翅&amp;amp;quot;&amp;amp;quot;金线吊葫芦″及日落景观,俯瞻梯田全景,整个梯田弯弯曲曲,行云流水。&#x0A;如果时间充裕最好在景区住一晚,金佛顶上有客栈,可观日落景观,平安壮族梯田也有客栈,不过平安梯田没有缆车上山。一般团游只去金坑梯田,游程时间足够二个梯田一起游既可观梯田又能体验壮瑶民族风情。一日游金坑梯田建议坐缆车上金佛顶,下山选择徙步,这样既省时间,又能近距离观赏梯田。&#x0A;龙脊梯田共有平安村,龙脊村,大寨村三个入口,从桂林市区都有专车到达每个入口。&#x0A;提供游览最佳时间,每年农历四月十五以后,梯田开始灌水的半个月和每年中秋以后半个月,梯田层层铺满金景色。
